"Prenom","Nom","Societe","Site","Departement","Service","fonction","Manager-Prenom","Manager-Nom","Nom de PC","Marque PC","Date de naissance","Telephone fixe","Telephone portable","Télétravail","Groupe_Departement","Groupe_Service","OU","SousOU"
"Arjun","Patel","BillU","Paris","Développement logiciel","Développement","Développeur","Hana","Kim","PA40065","DELL","03/06/2001  ","-","-","Non","GRP_DEVL","GRP_DEVL_DEV","Developpement-Logiciel","Developpement"
"Julia","Schneider","BillU","Paris","Développement logiciel","Développement","Développeur","Hana","Kim","PA43252","DELL","02/09/1997  ","-","-","Non","GRP_DEVL","GRP_DEVL_DEV","Developpement-Logiciel","Developpement"
"Jean","Rolland","BillU","Paris","Développement logiciel","Développement","Développeur","Florian","Rellay","PA43813","DELL","16/03/1997  ","-","-","Non","GRP_DEVL","GRP_DEVL_DEV","Developpement-Logiciel","Developpement"
"Giovanni","Moretti","BillU","Paris","Développement logiciel","Développement","Développeur","Florian","Rellay","PA45337","TOSHIBA","16/01/1995  ","-","-","Non","GRP_DEVL","GRP_DEVL_DEV","Developpement-Logiciel","Developpement"
"Samuel","Clement","BillU","Paris","Développement logiciel","Développement","Développeur","Florian","Rellay","PA45337","DELL","07/01/1992  ","-","-","Non","GRP_DEVL","GRP_DEVL_DEV","Developpement-Logiciel","Developpement"
"Clara","Garcia","BillU","Paris","Développement logiciel","Développement","Développeur","Hana","Kim","PA48530","LENOVO","25/12/1993  ","-","-","Non","GRP_DEVL","GRP_DEVL_DEV","Developpement-Logiciel","Developpement"
"Hana","Kim","BillU","Paris","Développement logiciel","Développement","Développeur","Hana","Kim","PA48799","HP","24/07/1987  ","-","-","Non","GRP_DEVL","GRP_DEVL_DEV","Developpement-Logiciel","Developpement"
"Emilien","Gerot","BillU","Paris","Développement logiciel","Développement","Développeur","Florian","Rellay","PA51163","LENOVO","31/07/1999  ","-","-","Non","GRP_DEVL","GRP_DEVL_DEV","Developpement-Logiciel","Developpement"
"Youssef","Al-Masri","BillU","Paris","Développement logiciel","Développement","Développeur","Hana","Kim","PA51530","HP","29/06/1983  ","-","-","Non","GRP_DEVL","GRP_DEVL_DEV","Developpement-Logiciel","Developpement"
"Klaus","Becker","BillU","Paris","Développement logiciel","Développement","Développeur","Hana","Kim","PA52587","LENOVO","18/07/2000  ","-","-","Non","GRP_DEVL","GRP_DEVL_DEV","Developpement-Logiciel","Developpement"
"Miguel","Hernandez","BillU","Paris","Développement logiciel","Développement","Développeur","Hana","Kim","PA52831","DELL","12/06/1982  ","-","-","Non","GRP_DEVL","GRP_DEVL_DEV","Developpement-Logiciel","Developpement"
"Vincent","Gerard","BillU","Paris","Développement logiciel","Développement","Développeur","Florian","Rellay","PA52948","LENOVO","18/09/1988  ","-","-","Non","GRP_DEVL","GRP_DEVL_DEV","Developpement-Logiciel","Developpement"
"Zoe","Smith","BillU","Paris","Développement logiciel","Développement","Développeur","Hana","Kim","PA53861","DELL","19/06/1998  ","-","-","Non","GRP_DEVL","GRP_DEVL_DEV","Developpement-Logiciel","Developpement"
"Amira","El-Mahdi","BillU","Paris","Développement logiciel","Développement","Développeur","Hana","Kim","PA55201","TOSHIBA","29/07/1996  ","-","-","Non","GRP_DEVL","GRP_DEVL_DEV","Developpement-Logiciel","Developpement"
"Norman","Robin","BillU","Paris","Développement logiciel","Développement","Développeur","Florian","Rellay","PA57512","HP","23/09/1993  ","-","-","Non","GRP_DEVL","GRP_DEVL_DEV","Developpement-Logiciel","Developpement"
"Yiannis","Papadopoulos","BillU","Paris","Développement logiciel","Développement","Développeur","Hana","Kim","PA57679","TOSHIBA","27/04/1991  ","-","-","Non","GRP_DEVL","GRP_DEVL_DEV","Developpement-Logiciel","Developpement"
"Martin","Nguyen","BillU","Paris","Développement logiciel","Développement","Développeur","Florian","Rellay","PA57906","DELL","18/07/1998  ","-","-","Non","GRP_DEVL","GRP_DEVL_DEV","Developpement-Logiciel","Developpement"
"Yara","Abadi","BillU","Paris","Développement logiciel","Développement","Développeur","Hana","Kim","PA58412","LENOVO","11/08/1985  ","-","-","Non","GRP_DEVL","GRP_DEVL_DEV","Developpement-Logiciel","Developpement"
"David","Vidal","BillU","Paris","Développement logiciel","Développement","Développeur","Florian","Rellay","PA59874","TOSHIBA","16/12/1985  ","-","-","Non","GRP_DEVL","GRP_DEVL_DEV","Developpement-Logiciel","Developpement"
"Amélie","Fournier","BillU","Paris","Développement logiciel","Développement","Développeur","Florian","Rellay","PA60728","DELL","22/07/1987  ","-","-","Non","GRP_DEVL","GRP_DEVL_DEV","Developpement-Logiciel","Developpement"
"Ines","Dupont","BillU","Paris","Développement logiciel","Développement","Développeur","Hana","Kim","PA62916","LENOVO","10/10/1997  ","-","-","Non","GRP_DEVL","GRP_DEVL_DEV","Developpement-Logiciel","Developpement"
"Mia","Johnson","BillU","Paris","Développement logiciel","Développement","Développeur","Hana","Kim","PA67552","DELL","07/02/1992  ","-","-","Non","GRP_DEVL","GRP_DEVL_DEV","Developpement-Logiciel","Developpement"
"Chloé","Dubois","BillU","Paris","Développement logiciel","Développement","Développeur","Hana","Kim","PA69037","HP","01/06/1993  ","-","-","Non","GRP_DEVL","GRP_DEVL_DEV","Developpement-Logiciel","Developpement"
"Hao","Wang","BillU","Paris","Développement logiciel","Développement","Développeur","Hana","Kim","PA70346","DELL","19/07/1984  ","-","-","Non","GRP_DEVL","GRP_DEVL_DEV","Developpement-Logiciel","Developpement"
"Tristan","Petit","BillU","Paris","Développement logiciel","Développement","Développeur","Hana","Kim","PA74440","HP","14/10/1986  ","-","-","Non","GRP_DEVL","GRP_DEVL_DEV","Developpement-Logiciel","Developpement"
"Guillaume","Pierre","BillU","Paris","Développement logiciel","Développement","Développeur","Florian","Rellay","PA74884","DELL","04/09/2001  ","-","-","Non","GRP_DEVL","GRP_DEVL_DEV","Developpement-Logiciel","Developpement"
"Dmitri","Ivanov","BillU","Paris","Développement logiciel","Développement","Développeur","Hana","Kim","PA75404","DELL","13/09/1996  ","-","-","Non","GRP_DEVL","GRP_DEVL_DEV","Developpement-Logiciel","Developpement"
"Carla","Pelcaut","BillU","Paris","Développement logiciel","Développement","Développeur","Florian","Rellay","PA77321","DELL","07/12/1988  ","-","-","Non","GRP_DEVL","GRP_DEVL_DEV","Developpement-Logiciel","Developpement"
"Aya","Benali","BillU","Paris","Développement logiciel","Développement","Développeur","Hana","Kim","PA77535","DELL","29/10/1987","-","-","Non","GRP_DEVL","GRP_DEVL_DEV","Developpement-Logiciel","Developpement"
"Jaxon","Brown","BillU","Paris","Développement logiciel","Développement","Développeur","Hana","Kim","PA78780","DELL","04/02/1995  ","-","-","Non","GRP_DEVL","GRP_DEVL_DEV","Developpement-Logiciel","Developpement"
"Fergie","Lork","BillU","Paris","Développement logiciel","Développement","Développeur","Florian","Rellay","PA79446","TOSHIBA","26/07/1996  ","-","-","Non","GRP_DEVL","GRP_DEVL_DEV","Developpement-Logiciel","Developpement"
"Yohan","Pillet","BillU","Paris","Développement logiciel","Développement","Développeur","Florian","Rellay","PA83956","DELL","26/12/1998  ","-","-","Non","GRP_DEVL","GRP_DEVL_DEV","Developpement-Logiciel","Developpement"
"Henri","Lambert","BillU","Paris","Développement logiciel","Développement","Développeur","Florian","Rellay","PA85194","HP","06/08/1997  ","-","-","Non","GRP_DEVL","GRP_DEVL_DEV","Developpement-Logiciel","Developpement"
"Etienne","Legrand","BillU","Paris","Développement logiciel","Développement","Développeur","Florian","Rellay","PA86254","HP","02/03/2000  ","-","-","Non","GRP_DEVL","GRP_DEVL_DEV","Developpement-Logiciel","Developpement"
"Fabio","Romano","BillU","Paris","Développement logiciel","Développement","Développeur","Hana","Kim","PA90927","HP","13/08/1995  ","-","-","Non","GRP_DEVL","GRP_DEVL_DEV","Developpement-Logiciel","Developpement"
"Kaito","Takahashi","BillU","Paris","Développement logiciel","Développement","Développeur","Hana","Kim","PA92121","LENOVO","04/12/1996  ","-","-","Non","GRP_DEVL","GRP_DEVL_DEV","Developpement-Logiciel","Developpement"
"Luc","Martin","BillU","Paris","Développement logiciel","Développement","Développeur","Hana","Kim","PA94045","TOSHIBA","23/06/1995  ","-","-","Non","GRP_DEVL","GRP_DEVL_DEV","Developpement-Logiciel","Developpement"
"Emmanuelle","Leroux","BillU","Paris","Développement logiciel","Développement","Développeur","Florian","Rellay","PA95467","DELL","31/10/1982  ","-","-","Non","GRP_DEVL","GRP_DEVL_DEV","Developpement-Logiciel","Developpement"
"Tristan","Fontaine","BillU","Paris","Développement logiciel","Développement","Développeur","Florian","Rellay","PA96447","DELL","25/02/1988  ","-","-","Non","GRP_DEVL","GRP_DEVL_DEV","Developpement-Logiciel","Developpement"
"Matteo","Ferrari","BillU","Paris","Développement logiciel","Développement","Développeur","Hana","Kim","PA96975","DELL","23/04/1999  ","-","-","Non","GRP_DEVL","GRP_DEVL_DEV","Developpement-Logiciel","Developpement"
"Rafael","Martinez","BillU","Paris","Développement logiciel","Développement","Développeur","Hana","Kim","PA99298","DELL","30/04/1993  ","-","-","Non","GRP_DEVL","GRP_DEVL_DEV","Developpement-Logiciel","Developpement"
"Romain","Vincent","BillU","Paris","DSI","Développement et Intégration","Intégrateur","Anthony","Noel","PA52103","DELL","30/08/1987  ","0192883550  ","0770092044  ","Non","GRP_DSI","","DSI",""
"Juliette","Roux","BillU","Paris","DSI","Développement et Intégration","Développeur","Anthony","Noel","PA73994","DELL","30/05/1985  ","0134118694  ","0665692415  ","Non","GRP_DSI","","DSI",""
"Juliette","Roy","BillU","Paris","DSI","Développement et Intégration","Développeur","Anthony","Noel","PA83956","DELL","12/11/1991  ","0104199164  ","0637045158  ","Non","GRP_DSI","","DSI",""
"Ines","Roger","BillU","Paris","DSI","Exploitation","Technicien de maintenance","Anthony","Noel","PA69442","DELL","13/12/1997  ","0490987479  ","0617155871  ","Non","GRP_DSI","GRP_DSI_EXP","DSI","Exploitation"
"Aaron","Roche","BillU","Paris","DSI","Exploitation","Technicien d'exploitation","Anthony","Noel","PA76820","DELL","20/10/2001  ","0400609816  ","0673124437  ","Non","GRP_DSI","GRP_DSI_EXP","DSI","Exploitation"
"Bryan","Perez","BillU","Paris","DSI","Exploitation","Technicien d'exploitation","Anthony","Noel","PA78323","DELL","22/05/1993  ","0131204687  ","0664331983  ","Non","GRP_DSI","GRP_DSI_EXP","DSI","Exploitation"
"Julien","Durand","BillU","Paris","DSI","Exploitation","Technicien de maintenance","Anthony","Noel","PA84572","DELL","01/05/1989  ","0137916836  ","0704153936  ","Non","GRP_DSI","GRP_DSI_EXP","DSI","Exploitation"
"Noémie","Andre","BillU","Paris","Finance et Comptabilité","Finance","Controleur de gestion","Yacine","Hamad","PA12959","TOSHIBA","05/05/1995  ","0109401276  ","-","Non","GRP_FC","GRP_FC_FIN","Finance-Comptabilite","Finance"
"Alex","Barbier","BillU","Paris","Finance et Comptabilité","Finance","Analyste financier","Yacine","Hamad","PA34551","TOSHIBA","21/10/1992  ","0153906457  ","-","Non","GRP_FC","GRP_FC_FIN","Finance-Comptabilite","Finance"
"Matteo","Simon","BillU","Paris","Finance et Comptabilité","Finance","Controleur de gestion","Yacine","Hamad","PA57512","HP","28/11/1986  ","0175097244  ","-","Non","GRP_FC","GRP_FC_FIN","Finance-Comptabilite","Finance"
"Yacine","Hamad","BillU","Paris","Finance et Comptabilité","Finance","Directeur financier","Camille","Martin","PA68867","HP","18/10/1992","0154314543  ","0648462640  ","Non","GRP_FC","GRP_FC_FIN","Finance-Comptabilite","Finance"
"Quentin","Bertrand","BillU","Paris","Finance et Comptabilité","Fiscalité","Conseiller en fiscalité","Yacine","Hamad","PA31320","LENOVO","22/08/1982  ","0483436266","-","Non","GRP_FC","","Finance-Comptabilite",""
"Ines","Henry","BillU","Paris","Communication et Relations publiques","Gestion des marques","Webmaster","Gaelle","Colin","PA39469","DELL","05/01/2000  ","0138585445  ","0685150170  ","Non","GRP_CRP","GRP_CRP_GM","Communication-Relations-Publiques","Gestion-Marques"
"Laurence","Guerin","BillU","Paris","Communication et Relations publiques","Gestion des marques","Designer graphique","Gaelle","Colin","PA63117","DELL","20/07/1990  ","0114806301  ","0642681764  ","Non","GRP_CRP","GRP_CRP_GM","Communication-Relations-Publiques","Gestion-Marques"
"Mathias","Muller","BillU","Paris","Communication et Relations publiques","Gestion des marques","Community manager","Gaelle","Colin","PA63498","DELL","08/12/2000  ","0112691924  ","0695993512  ","Non","GRP_CRP","GRP_CRP_GM","Communication-Relations-Publiques","Gestion-Marques"
"Gaetan","Roussel","BillU","Paris","Communication et Relations publiques","Gestion des marques","Webmaster","Gaelle","Colin","PA74884","DELL","27/10/1994  ","0181708327  ","0622836246  ","Non","GRP_CRP","GRP_CRP_GM","Communication-Relations-Publiques","Gestion-Marques"
"Lukas","Rousseau","BillU","Paris","Communication et Relations publiques","Gestion des marques","photographe","Gaelle","Colin","PA74987","DELL","19/04/1993  ","0199526389  ","0742450021  ","Non","GRP_CRP","GRP_CRP_GM","Communication-Relations-Publiques","Gestion-Marques"
"Enzo","Petit","BillU","Paris","QHSE","Gestion environnementale","Technicien HSE","Arielle","Leroy","PA74987","LENOVO","24/10/1998  ","0171818675  ","-","Non","GRP_QHSE","GRP_QHSE_GE","QHSE","Gestion-Environnementale"
"Hélène","Cault","BillU","Paris","Département Juridique","Propriété intellectuelle","Juriste","Fauve","Hôlth","PA26363","LENOVO","30/06/1985  ","0155916179  ","-","Non","GRP_DJ","GRP_DJ_PI","Departement-Juridique","Prop-Int"
"Faustine","Denis","BillU","Paris","Département Juridique","Propriété intellectuelle","Juriste","Fauve","Hôlth","PA51856","HP","15/03/1983  ","0102226399  ","-","Non","GRP_DJ","GRP_DJ_PI","Departement-Juridique","Prop-Int"
"Remi","Advezekt","BillU","Paris","Département Juridique","Protection des données et conformité","Juriste","Fauve","Hôlth","PA12540","LENOVO","28/05/1997  ","0488168544","-","Non","GRP_DJ","GRP_DJ_DATA","Departement-Juridique","Protection-DATA"
"Robin","Bourgeois","BillU","Paris","Département Juridique","Protection des données et conformité","Juriste","Fauve","Hôlth","PA33490","HP","17/07/1997  ","0130797419  ","-","Non","GRP_DJ","GRP_DJ_DATA","Departement-Juridique","Protection-DATA"
"Yann","Boyer","BillU","Paris","Département Juridique","Protection des données et conformité","Juriste","Fauve","Hôlth","PA48690","LENOVO","30/03/1992  ","0198705216  ","-","Non","GRP_DJ","GRP_DJ_DATA","Departement-Juridique","Protection-DATA"
"Isabel","Gomez","BillU","Paris","Développement logiciel","Recherche et Prototype","Développeur","Niko","Gruber","PA21386","HP","23/06/1984  ","0158890916  ","0601928581  ","Non","GRP_DEVL","GRP_DEVL_RP","Developpement-Logiciel","Recherche-Prototype"
"Sophie","Mercier","BillU","Paris","Développement logiciel","Recherche et Prototype","Développeur","Niko","Gruber","PA27339","HP","11/03/1992  ","0138775905  ","0704209714  ","Non","GRP_DEVL","GRP_DEVL_RP","Developpement-Logiciel","Recherche-Prototype"
"Julien","Lefebvre","BillU","Paris","Développement logiciel","Recherche et Prototype","Développeur","Niko","Gruber","PA67334","LENOVO","10/12/2001  ","0182968579  ","0714669952  ","Non","GRP_DEVL","GRP_DEVL_RP","Developpement-Logiciel","Recherche-Prototype"
"Niko","Gruber","BillU","Paris","Développement logiciel","Recherche et Prototype","Responsable Recherche","Sofia","Rossi","PA82471","HP","17/11/1993  ","0148808015  ","0653178244  ","Non","GRP_DEVL","GRP_DEVL_RP","Developpement-Logiciel","Recherche-Prototype"
"Sophia","Leclerc","BillU","Paris","Communication et Relations publiques","Relation Médias","Chargée relation presse","Aurelien","Brunet","PA76764","DELL","10/08/1988  ","0134259365  ","0732836175  ","Non","GRP_CRP","","Communication-Relations-Publiques",""
"Alban","Dumas","BillU","Paris","Communication et Relations publiques","Relation Médias","Rédacteur","Aurelien","Brunet","PA78671","HP","02/12/1987  ","0197796902  ","0615034263  ","Non","GRP_CRP","","Communication-Relations-Publiques",""
"Felianne","Fernandez","BillU","Paris","Communication et Relations publiques","Relation Médias","Rédacteur","Aurelien","Brunet","PA92969","DELL","17/11/1992  ","0122223912  ","0655605121  ","Non","GRP_CRP","","Communication-Relations-Publiques",""
